County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2013,0.0,0,0,0.0,2,0.0,1.0,0.0,3.0
Brevard2013,9.0,0,5,52.0,13,6.0,158.0,1.0,244.0
Broward2013,2.0,1,0,1.0,1,0.0,11.0,0.0,16.0
Charlotte2013,6.0,0,0,4.0,0,11.0,6.0,5.0,32.0
Citrus2013,4.0,0,2,4.0,0,3.0,4.0,0.0,17.0
Clay2013,0.0,0,0,2.0,0,0.0,5.0,0.0,7.0
Collier2013,2.0,0,0,2.0,0,9.0,2.0,3.0,18.0
DeSoto2013,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Dixie2013,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Duval2013,4.0,0,0,3.0,7,0.0,3.0,1.0,18.0
Flagler2013,0.0,0,0,2.0,1,0.0,1.0,0.0,4.0
Franklin2013,0.0,0,0,0.0,1,0.0,0.0,1.0,2.0
Gilchrist2013,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Glades2013,2.0,1,0,0.0,0,0.0,1.0,0.0,4.0
Hernando2013,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2013,3.0,0,0,5.0,0,3.0,4.0,1.0,16.0
Indian River2013,1.0,0,0,3.0,1,0.0,6.0,0.0,11.0
Lake2013,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Lee2013,15.0,0,2,12.0,0,144.0,25.0,78.0,276.0
Levy2013,0.0,0,0,1.0,0,0.0,0.0,2.0,3.0
Manatee2013,3.0,0,0,1.0,1,1.0,1.0,0.0,7.0
Martin2013,0.0,0,0,3.0,2,0.0,2.0,0.0,7.0
Miami-Dade2013,1.0,3,1,0.0,0,1.0,3.0,2.0,11.0
Monroe2013,3.0,0,0,0.0,0,1.0,3.0,1.0,8.0
Nassau2013,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee2013,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Palm Beach2013,3.0,0,1,1.0,1,0.0,2.0,0.0,8.0
Pinellas2013,1.0,0,0,8.0,0,2.0,3.0,1.0,15.0
Putnam2013,2.0,0,0,0.0,2,0.0,1.0,1.0,6.0
Sarasota2013,1.0,0,0,7.0,0,13.0,2.0,1.0,24.0
Seminole2013,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns2013,0.0,0,1,2.0,3,0.0,2.0,0.0,8.0
St. Lucie2013,0.0,0,0,3.0,0,0.0,5.0,0.0,8.0
Volusia2013,7.0,0,0,9.0,4,2.0,19.0,1.0,42.0
Wakulla2013,0.0,0,0,0.0,0,1.0,1.0,1.0,3.0
Walton2013,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
TOTAL:2013,73.0,5,12,129.0,40,197.0,274.0,100.0,830.0
