County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1992,7.0,0,0,12.0,0,1.0,10.0,1.0,31.0
Broward1992,2.0,0,0,5.0,0,0.0,2.0,0.0,9.0
Charlotte1992,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Citrus1992,3.0,0,0,3.0,0,2.0,1.0,0.0,9.0
Clay1992,4.0,0,0,0.0,0,0.0,0.0,0.0,4.0
Collier1992,4.0,0,2,5.0,0,2.0,6.0,0.0,19.0
DeSoto1992,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Duval1992,2.0,0,0,1.0,0,3.0,2.0,0.0,8.0
Flagler1992,0.0,0,1,1.0,0,0.0,0.0,0.0,2.0
Glades1992,0.0,1,0,1.0,0,0.0,2.0,0.0,4.0
Hillsborough1992,2.0,0,0,1.0,0,1.0,0.0,0.0,4.0
Indian River1992,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1992,2.0,0,1,4.0,0,3.0,9.0,0.0,19.0
Manatee1992,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Martin1992,1.0,2,1,2.0,0,0.0,2.0,0.0,8.0
Miami-Dade1992,4.0,1,1,1.0,0,1.0,2.0,0.0,10.0
Monroe1992,2.0,0,0,0.0,0,1.0,3.0,0.0,6.0
Nassau1992,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee1992,0.0,1,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1992,0.0,0,0,1.0,0,2.0,0.0,0.0,3.0
Pasco1992,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Pinellas1992,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Putnam1992,1.0,0,0,2.0,0,0.0,0.0,0.0,3.0
Sarasota1992,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
St. Lucie1992,1.0,0,0,0.0,0,2.0,1.0,0.0,4.0
Volusia1992,1.0,0,0,3.0,0,1.0,0.0,0.0,5.0
TOTAL:1992,38.0,5,6,48.0,0,20.0,45.0,1.0,163.0
