County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1985,8.0,0,0,7.0,5,3.0,7.0,2.0,32.0
Broward1985,1.0,1,1,0.0,0,0.0,1.0,0.0,4.0
Charlotte1985,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Citrus1985,1.0,0,0,2.0,0,0.0,0.0,0.0,3.0
Collier1985,1.0,0,0,3.0,1,1.0,6.0,1.0,13.0
DeSoto1985,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Duval1985,4.0,0,0,0.0,1,1.0,3.0,0.0,9.0
Glades1985,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Hernando1985,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Hillsborough1985,3.0,0,0,0.0,0,1.0,2.0,0.0,6.0
Indian River1985,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Lee1985,5.0,0,0,4.0,1,2.0,2.0,2.0,16.0
Martin1985,2.0,0,0,0.0,0,0.0,1.0,0.0,3.0
Miami-Dade1985,1.0,1,0,2.0,0,0.0,0.0,0.0,4.0
Monroe1985,0.0,0,1,0.0,0,1.0,2.0,0.0,4.0
Nassau1985,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee1985,0.0,1,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1985,3.0,0,0,0.0,0,0.0,0.0,0.0,3.0
Pinellas1985,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Putnam1985,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Sarasota1985,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
St. Johns1985,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
St. Lucie1985,1.0,0,0,0.0,0,0.0,0.0,1.0,2.0
Volusia1985,1.0,0,0,0.0,0,0.0,2.0,0.0,3.0
TOTAL:1985,34.0,3,2,23.0,9,10.0,32.0,6.0,119.0
