County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2000,13.0,0,1,16.0,0,6.0,11.0,2.0,49.0
Broward2000,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Charlotte2000,5.0,0,0,2.0,0,2.0,2.0,0.0,11.0
Citrus2000,1.0,0,1,2.0,0,0.0,2.0,0.0,6.0
Clay2000,0.0,0,1,2.0,1,0.0,0.0,0.0,4.0
Collier2000,5.0,0,0,6.0,1,8.0,14.0,1.0,35.0
Dixie2000,2.0,0,0,0.0,0,1.0,1.0,1.0,5.0
Duval2000,4.0,0,0,2.0,2,0.0,2.0,1.0,11.0
Flagler2000,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Glades2000,3.0,3,0,0.0,0,1.0,0.0,0.0,7.0
Hendry2000,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2000,2.0,0,0,1.0,0,1.0,1.0,0.0,5.0
Indian River2000,4.0,0,0,2.0,1,1.0,2.0,0.0,10.0
Lake2000,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee2000,13.0,0,1,8.0,1,11.0,8.0,2.0,44.0
Levy2000,1.0,0,1,0.0,0,0.0,0.0,1.0,3.0
Manatee2000,0.0,0,0,0.0,1,0.0,3.0,0.0,4.0
Martin2000,1.0,2,0,2.0,0,0.0,1.0,0.0,6.0
Miami-Dade2000,2.0,2,2,0.0,0,0.0,2.0,0.0,8.0
Monroe2000,3.0,0,0,0.0,0,2.0,1.0,0.0,6.0
Okeechobee2000,0.0,1,0,1.0,0,0.0,0.0,0.0,2.0
Palm Beach2000,3.0,0,0,2.0,2,1.0,1.0,0.0,9.0
Pasco2000,0.0,0,1,0.0,0,1.0,0.0,0.0,2.0
Pinellas2000,0.0,0,0,2.0,1,0.0,1.0,0.0,4.0
Santa Rosa2000,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Sarasota2000,5.0,0,0,3.0,1,0.0,2.0,0.0,11.0
St. Johns2000,1.0,0,0,1.0,1,0.0,2.0,0.0,5.0
St. Lucie2000,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Volusia2000,4.0,0,0,5.0,1,2.0,1.0,0.0,13.0
Wakulla2000,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
TOTAL:2000,78.0,8,8,59.0,14,37.0,60.0,8.0,272.0
