County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2012,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard2012,10.0,1,2,18.0,7,2.0,50.0,1.0,91.0
Broward2012,3.0,1,0,3.0,1,1.0,6.0,0.0,15.0
Charlotte2012,4.0,0,0,3.0,0,1.0,2.0,0.0,10.0
Citrus2012,2.0,0,2,4.0,0,7.0,1.0,0.0,16.0
Clay2012,0.0,0,0,1.0,2,0.0,2.0,0.0,5.0
Collier2012,3.0,0,0,0.0,0,5.0,2.0,0.0,10.0
DeSoto2012,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Dixie2012,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval2012,4.0,0,0,2.0,6,0.0,1.0,0.0,13.0
Flagler2012,1.0,0,0,2.0,1,0.0,1.0,0.0,5.0
Franklin2012,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Gilchrist2012,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Glades2012,2.0,6,0,1.0,0,0.0,1.0,1.0,11.0
Hendry2012,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hernando2012,2.0,0,0,0.0,0,0.0,1.0,0.0,3.0
Hillsborough2012,4.0,0,0,2.0,0,3.0,4.0,0.0,13.0
Indian River2012,4.0,0,0,0.0,0,0.0,3.0,0.0,7.0
Lee2012,19.0,1,0,13.0,3,27.0,16.0,2.0,81.0
Levy2012,1.0,0,0,0.0,1,3.0,0.0,0.0,5.0
Manatee2012,2.0,0,0,3.0,0,0.0,1.0,0.0,6.0
Marion2012,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Martin2012,3.0,1,0,0.0,0,0.0,2.0,0.0,6.0
Miami-Dade2012,1.0,1,0,1.0,0,0.0,1.0,0.0,4.0
Monroe2012,0.0,0,0,0.0,1,1.0,0.0,1.0,3.0
Okeechobee2012,0.0,1,0,0.0,0,0.0,3.0,0.0,4.0
Palm Beach2012,2.0,0,1,0.0,1,0.0,4.0,0.0,8.0
Pasco2012,0.0,0,1,1.0,0,1.0,1.0,0.0,4.0
Pinellas2012,6.0,0,0,3.0,0,3.0,1.0,0.0,13.0
Putnam2012,1.0,0,0,1.0,1,0.0,6.0,0.0,9.0
Sarasota2012,0.0,0,0,1.0,1,0.0,2.0,0.0,4.0
St. Johns2012,0.0,0,0,0.0,1,0.0,2.0,0.0,3.0
St. Lucie2012,2.0,0,2,2.0,0,1.0,2.0,0.0,9.0
Taylor2012,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Volusia2012,5.0,0,0,6.0,2,2.0,6.0,0.0,21.0
Wakulla2012,0.0,0,0,2.0,0,0.0,0.0,1.0,3.0
Walton2012,0.0,0,0,0.0,1,0.0,0.0,1.0,2.0
TOTAL:2012,82.0,12,8,70.0,30,58.0,124.0,8.0,392.0
