County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2009,7.0,2,2,48.0,13,9.0,25.0,1.0,107.0
Broward2009,3.0,0,1,0.0,4,3.0,4.0,0.0,15.0
Charlotte2009,2.0,0,0,2.0,2,2.0,3.0,0.0,11.0
Citrus2009,2.0,0,0,2.0,0,2.0,0.0,0.0,6.0
Clay2009,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Collier2009,5.0,0,0,4.0,7,2.0,5.0,4.0,27.0
DeSoto2009,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval2009,8.0,0,0,3.0,1,0.0,2.0,0.0,14.0
Flagler2009,1.0,0,0,2.0,2,1.0,0.0,0.0,6.0
Glades2009,1.0,2,0,0.0,0,0.0,0.0,0.0,3.0
Hendry2009,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hernando2009,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hillsborough2009,7.0,0,0,2.0,0,2.0,2.0,0.0,13.0
Indian River2009,2.0,0,0,5.0,3,2.0,6.0,0.0,18.0
Lake2009,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Lee2009,19.0,1,1,11.0,5,5.0,17.0,1.0,60.0
Levy2009,0.0,0,0,2.0,1,0.0,0.0,0.0,3.0
Manatee2009,5.0,0,1,1.0,2,0.0,1.0,0.0,10.0
Martin2009,6.0,0,0,3.0,3,1.0,2.0,0.0,15.0
Miami-Dade2009,2.0,0,0,2.0,0,0.0,4.0,1.0,9.0
Monroe2009,3.0,0,0,2.0,0,1.0,3.0,1.0,10.0
Nassau2009,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Okeechobee2009,0.0,0,0,0.0,0,0.0,2.0,1.0,3.0
Palm Beach2009,4.0,0,1,1.0,3,1.0,6.0,0.0,16.0
Pinellas2009,6.0,0,0,2.0,1,3.0,0.0,0.0,12.0
Sarasota2009,4.0,0,0,7.0,0,1.0,5.0,0.0,17.0
Seminole2009,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
St. Johns2009,3.0,0,0,0.0,1,0.0,0.0,0.0,4.0
St. Lucie2009,0.0,0,0,1.0,2,0.0,6.0,0.0,9.0
Volusia2009,4.0,0,1,12.0,6,0.0,7.0,1.0,31.0
Wakulla2009,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
TOTAL:2009,97.0,5,7,114.0,56,37.0,103.0,10.0,429.0
