County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1999,12.0,1,1,13.0,0,8.0,9.0,1.0,45.0
Broward1999,5.0,0,0,4.0,0,1.0,5.0,0.0,15.0
Charlotte1999,4.0,0,0,4.0,0,3.0,3.0,0.0,14.0
Citrus1999,3.0,0,0,2.0,0,1.0,0.0,0.0,6.0
Clay1999,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Collier1999,10.0,0,0,2.0,0,1.0,5.0,1.0,19.0
Duval1999,2.0,0,0,1.0,1,1.0,4.0,0.0,9.0
Flagler1999,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Gilchrist1999,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Glades1999,4.0,0,0,0.0,0,0.0,3.0,0.0,7.0
Gulf1999,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hillsborough1999,4.0,0,0,2.0,0,0.0,1.0,0.0,7.0
Indian River1999,1.0,0,0,2.0,0,0.0,4.0,0.0,7.0
Lee1999,10.0,1,1,6.0,0,6.0,9.0,0.0,33.0
Levy1999,1.0,1,0,0.0,1,0.0,0.0,0.0,3.0
Manatee1999,3.0,0,0,5.0,0,1.0,1.0,0.0,10.0
Martin1999,2.0,4,0,1.0,0,2.0,0.0,0.0,9.0
Miami-Dade1999,1.0,5,3,0.0,0,2.0,0.0,1.0,12.0
Monroe1999,3.0,0,0,2.0,0,1.0,0.0,2.0,8.0
Nassau1999,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee1999,0.0,2,0,0.0,0,0.0,0.0,0.0,2.0
Palm Beach1999,2.0,0,2,1.0,0,1.0,1.0,0.0,7.0
Pasco1999,1.0,0,1,0.0,0,1.0,0.0,0.0,3.0
Pinellas1999,2.0,0,0,0.0,1,1.0,2.0,1.0,7.0
Putnam1999,0.0,1,0,0.0,0,0.0,2.0,0.0,3.0
Sarasota1999,5.0,0,0,2.0,0,4.0,3.0,0.0,14.0
Seminole1999,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns1999,2.0,0,0,0.0,1,1.0,4.0,0.0,8.0
St. Lucie1999,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Taylor1999,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Volusia1999,5.0,0,0,2.0,0,1.0,3.0,0.0,11.0
TOTAL:1999,82.0,15,8,54.0,5,37.0,61.0,7.0,269.0
