County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2017,0.0,0,0,0.0,0,0.0,1.0,2.0,3.0
Brevard2017,13.0,0,4,21.0,13,5.0,54.0,1.0,111.0
Broward2017,7.0,0,0,0.0,0,2.0,4.0,0.0,13.0
Charlotte2017,3.0,0,0,1.0,0,18.0,2.0,5.0,29.0
Citrus2017,7.0,0,3,9.0,0,4.0,2.0,0.0,25.0
Clay2017,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
Collier2017,4.0,0,2,3.0,0,3.0,5.0,1.0,18.0
DeSoto2017,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Dixie2017,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Duval2017,6.0,0,0,5.0,4,1.0,3.0,0.0,19.0
Flagler2017,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Glades2017,1.0,0,0,0.0,0,0.0,1.0,1.0,3.0
Hernando2017,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2017,5.0,0,0,8.0,0,5.0,5.0,1.0,24.0
Indian River2017,2.0,0,0,1.0,1,1.0,6.0,1.0,12.0
Lee2017,16.0,0,1,24.0,2,21.0,9.0,5.0,78.0
Levy2017,0.0,0,1,2.0,0,0.0,0.0,2.0,5.0
Manatee2017,5.0,0,0,5.0,0,7.0,2.0,1.0,20.0
Marion2017,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Martin2017,2.0,2,1,2.0,0,1.0,0.0,0.0,8.0
Miami-Dade2017,2.0,0,0,3.0,0,0.0,10.0,0.0,15.0
Monroe2017,6.0,0,0,4.0,0,0.0,5.0,2.0,17.0
Okeechobee2017,2.0,1,0,1.0,0,0.0,0.0,0.0,4.0
Palm Beach2017,2.0,0,0,1.0,2,0.0,3.0,1.0,9.0
Pasco2017,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Pinellas2017,8.0,0,0,7.0,0,4.0,7.0,1.0,27.0
Putnam2017,0.0,0,0,1.0,0,0.0,3.0,0.0,4.0
Santa Rosa2017,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Sarasota2017,1.0,0,0,5.0,1,17.0,3.0,0.0,27.0
Seminole2017,0.0,0,0,1.0,0,0.0,1.0,1.0,3.0
St. Johns2017,0.0,0,1,0.0,3,0.0,1.0,0.0,5.0
St. Lucie2017,2.0,0,1,1.0,1,0.0,3.0,0.0,8.0
Taylor2017,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Volusia2017,14.0,0,1,7.0,1,3.0,12.0,1.0,39.0
TOTAL:2017,111.0,3,15,117.0,30,93.0,143.0,26.0,538.0
