County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2006,22.0,0,2,23.0,4,14.0,20.0,2.0,87.0
Broward2006,6.0,0,1,1.0,1,2.0,4.0,0.0,15.0
Charlotte2006,1.0,0,0,2.0,0,1.0,5.0,1.0,10.0
Citrus2006,2.0,0,1,2.0,1,1.0,2.0,1.0,10.0
Clay2006,0.0,0,0,0.0,2,0.0,1.0,0.0,3.0
Collier2006,1.0,0,0,1.0,2,5.0,5.0,1.0,15.0
Duval2006,8.0,0,0,1.0,1,1.0,1.0,1.0,13.0
Flagler2006,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Glades2006,0.0,2,0,0.0,0,0.0,0.0,0.0,2.0
Gulf2006,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hendry2006,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hernando2006,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hillsborough2006,5.0,0,0,4.0,2,3.0,2.0,0.0,16.0
Indian River2006,2.0,0,0,0.0,0,0.0,4.0,0.0,6.0
Lake2006,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Lee2006,21.0,0,0,6.0,4,22.0,26.0,3.0,82.0
Levy2006,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Manatee2006,3.0,0,0,1.0,1,4.0,1.0,0.0,10.0
Martin2006,5.0,1,0,5.0,0,1.0,5.0,0.0,17.0
Miami-Dade2006,1.0,0,0,1.0,0,3.0,1.0,1.0,7.0
Monroe2006,2.0,0,1,1.0,0,9.0,15.0,15.0,43.0
Okaloosa2006,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Palm Beach2006,0.0,0,0,1.0,1,1.0,4.0,0.0,7.0
Pasco2006,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Pinellas2006,1.0,0,0,3.0,0,2.0,3.0,0.0,9.0
Putnam2006,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Sarasota2006,6.0,0,0,4.0,1,5.0,4.0,0.0,20.0
St. Johns2006,0.0,0,0,1.0,1,0.0,1.0,0.0,3.0
St. Lucie2006,0.0,0,0,2.0,0,0.0,3.0,0.0,5.0
Taylor2006,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Volusia2006,3.0,0,1,9.0,0,5.0,2.0,2.0,22.0
TOTAL:2006,92.0,3,6,70.0,22,80.0,117.0,27.0,417.0
