County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1993,9.0,0,0,9.0,0,7.0,5.0,0.0,30.0
Broward1993,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Charlotte1993,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Citrus1993,1.0,0,1,2.0,0,1.0,2.0,0.0,7.0
Clay1993,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Collier1993,5.0,0,1,3.0,2,1.0,4.0,2.0,18.0
Dixie1993,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Duval1993,2.0,0,0,2.0,0,0.0,1.0,0.0,5.0
Flagler1993,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Glades1993,0.0,1,0,0.0,0,0.0,1.0,0.0,2.0
Hendry1993,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough1993,0.0,0,0,0.0,0,1.0,1.0,0.0,2.0
Lee1993,5.0,0,1,5.0,0,3.0,3.0,0.0,17.0
Levy1993,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Manatee1993,0.0,0,0,1.0,0,2.0,0.0,0.0,3.0
Martin1993,0.0,1,0,2.0,0,0.0,0.0,0.0,3.0
Miami-Dade1993,0.0,2,2,0.0,0,0.0,1.0,0.0,5.0
Monroe1993,1.0,0,0,2.0,0,2.0,2.0,0.0,7.0
Okeechobee1993,0.0,1,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1993,3.0,0,1,0.0,0,1.0,0.0,0.0,5.0
Pasco1993,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas1993,0.0,0,0,0.0,0,2.0,1.0,0.0,3.0
Putnam1993,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Sarasota1993,2.0,0,0,1.0,0,2.0,0.0,0.0,5.0
Seminole1993,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Johns1993,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
St. Lucie1993,1.0,0,0,1.0,0,0.0,2.0,0.0,4.0
Volusia1993,0.0,0,0,4.0,0,0.0,1.0,0.0,5.0
TOTAL:1993,35.0,5,6,39.0,2,22.0,34.0,2.0,145.0
