County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1984,4.0,0,0,2.0,1,1.0,3.0,0.0,11.0
Broward1984,2.0,0,0,0.0,0,0.0,3.0,0.0,5.0
Charlotte1984,2.0,0,0,0.0,2,0.0,0.0,0.0,4.0
Citrus1984,2.0,0,0,3.0,0,0.0,0.0,0.0,5.0
Clay1984,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Collier1984,0.0,0,0,0.0,2,0.0,7.0,0.0,9.0
Duval1984,7.0,0,0,0.0,6,0.0,3.0,0.0,16.0
Glades1984,3.0,2,0,0.0,0,0.0,0.0,0.0,5.0
Hendry1984,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Hillsborough1984,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Indian River1984,2.0,0,0,1.0,2,0.0,1.0,0.0,6.0
Lake1984,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee1984,1.0,0,0,6.0,2,0.0,10.0,0.0,19.0
Levy1984,0.0,0,0,3.0,0,0.0,1.0,0.0,4.0
Manatee1984,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Martin1984,1.0,1,1,2.0,1,0.0,3.0,0.0,9.0
Miami-Dade1984,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Monroe1984,0.0,0,0,0.0,0,0.0,2.0,1.0,3.0
Nassau1984,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
Palm Beach1984,2.0,0,0,0.0,1,0.0,2.0,0.0,5.0
Pasco1984,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Sarasota1984,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
St. Johns1984,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
St. Lucie1984,2.0,0,0,0.0,0,0.0,1.0,0.0,3.0
Volusia1984,2.0,0,0,5.0,0,1.0,0.0,0.0,8.0
TOTAL:1984,34.0,3,1,25.0,20,4.0,40.0,1.0,128.0
