County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1983,1.0,0,0,3.0,0,0.0,7.0,0.0,11.0
Broward1983,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Charlotte1983,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Citrus1983,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Clay1983,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Collier1983,4.0,0,0,1.0,0,0.0,4.0,0.0,9.0
Duval1983,2.0,0,0,0.0,0,0.0,5.0,1.0,8.0
Glades1983,2.0,2,0,0.0,0,0.0,0.0,0.0,4.0
Hillsborough1983,0.0,0,0,1.0,0,1.0,1.0,0.0,3.0
Lee1983,1.0,0,1,4.0,0,3.0,6.0,0.0,15.0
Levy1983,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Martin1983,0.0,1,0,1.0,0,0.0,0.0,0.0,2.0
Miami-Dade1983,0.0,1,4,1.0,0,0.0,1.0,0.0,7.0
Monroe1983,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Nassau1983,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1983,2.0,0,0,0.0,0,0.0,1.0,0.0,3.0
Pinellas1983,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Putnam1983,0.0,3,0,0.0,0,0.0,1.0,1.0,5.0
Sarasota1983,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns1983,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Volusia1983,0.0,0,0,3.0,0,0.0,0.0,0.0,3.0
TOTAL:1983,15.0,7,5,18.0,0,6.0,28.0,2.0,81.0
