County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1997,12.0,3,3,22.0,1,5.0,15.0,1.0,62.0
Broward1997,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Charlotte1997,4.0,0,0,1.0,0,2.0,2.0,0.0,9.0
Citrus1997,1.0,0,1,2.0,0,0.0,1.0,0.0,5.0
Clay1997,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Collier1997,4.0,0,0,2.0,0,11.0,4.0,0.0,21.0
Dixie1997,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval1997,2.0,0,0,3.0,1,0.0,4.0,0.0,10.0
Flagler1997,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Glades1997,2.0,0,0,0.0,0,0.0,1.0,0.0,3.0
Hillsborough1997,3.0,0,0,2.0,0,2.0,2.0,1.0,10.0
Indian River1997,1.0,0,0,3.0,0,3.0,0.0,0.0,7.0
Lake1997,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1997,9.0,0,0,7.0,1,14.0,12.0,0.0,43.0
Manatee1997,0.0,0,0,2.0,0,0.0,2.0,0.0,4.0
Martin1997,3.0,0,0,0.0,0,2.0,1.0,0.0,6.0
Miami-Dade1997,5.0,5,1,2.0,0,0.0,1.0,0.0,14.0
Monroe1997,0.0,0,0,0.0,0,0.0,5.0,0.0,5.0
Nassau1997,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Palm Beach1997,1.0,0,2,1.0,0,2.0,0.0,0.0,6.0
Pasco1997,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Pinellas1997,1.0,0,0,1.0,0,1.0,1.0,1.0,5.0
Putnam1997,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Sarasota1997,2.0,0,0,1.0,0,0.0,0.0,0.0,3.0
Seminole1997,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Johns1997,0.0,0,0,0.0,0,0.0,4.0,0.0,4.0
St. Lucie1997,0.0,0,1,0.0,0,0.0,1.0,0.0,2.0
Taylor1997,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Volusia1997,1.0,0,0,5.0,0,0.0,2.0,1.0,9.0
TOTAL:1997,54.0,8,8,61.0,4,42.0,61.0,4.0,242.0
