County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2007,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard2007,10.0,0,1,21.0,3,17.0,5.0,0.0,57.0
Broward2007,1.0,0,1,0.0,0,0.0,2.0,0.0,4.0
Charlotte2007,3.0,0,0,2.0,0,1.0,2.0,0.0,8.0
Citrus2007,5.0,0,0,3.0,0,2.0,2.0,0.0,12.0
Clay2007,1.0,0,0,0.0,1,0.0,0.0,0.0,2.0
Collier2007,6.0,0,1,2.0,0,2.0,5.0,0.0,16.0
Dixie2007,1.0,0,0,0.0,0,0.0,0.0,1.0,2.0
Duval2007,2.0,0,0,0.0,3,0.0,3.0,0.0,8.0
Flagler2007,2.0,0,0,2.0,1,0.0,2.0,0.0,7.0
Franklin2007,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Gilchrist2007,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Glades2007,1.0,2,0,0.0,0,0.0,5.0,0.0,8.0
Hernando2007,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Hillsborough2007,3.0,0,0,1.0,0,0.0,0.0,0.0,4.0
Indian River2007,0.0,0,0,3.0,0,1.0,3.0,0.0,7.0
Lee2007,14.0,0,0,5.0,4,45.0,18.0,5.0,91.0
Manatee2007,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Martin2007,2.0,0,0,1.0,1,1.0,2.0,0.0,7.0
Miami-Dade2007,4.0,0,2,1.0,0,4.0,2.0,0.0,13.0
Monroe2007,3.0,0,0,1.0,0,2.0,2.0,2.0,10.0
Nassau2007,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Palm Beach2007,0.0,0,0,0.0,1,1.0,1.0,0.0,3.0
Pasco2007,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Pinellas2007,3.0,0,0,2.0,1,0.0,2.0,0.0,8.0
Putnam2007,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Sarasota2007,0.0,0,0,2.0,2,1.0,0.0,0.0,5.0
St. Johns2007,0.0,0,0,0.0,0,1.0,2.0,0.0,3.0
St. Lucie2007,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Taylor2007,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Volusia2007,8.0,0,0,9.0,0,4.0,4.0,1.0,26.0
TOTAL:2007,73.0,2,5,59.0,18,82.0,66.0,12.0,317.0
