County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1978,4.0,0,0,2.0,0,0.0,2.0,0.0,8.0
Broward1978,0.0,0,0,1.0,0,0.0,0.0,1.0,2.0
Citrus1978,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Clay1978,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Collier1978,0.0,0,0,0.0,0,0.0,3.0,0.0,3.0
Duval1978,5.0,0,0,0.0,0,0.0,5.0,1.0,11.0
Glades1978,1.0,0,0,0.0,0,1.0,1.0,0.0,3.0
Hillsborough1978,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Lake1978,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1978,2.0,0,0,0.0,0,2.0,3.0,2.0,9.0
Levy1978,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Manatee1978,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Martin1978,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Miami-Dade1978,2.0,8,0,0.0,0,0.0,2.0,0.0,12.0
Monroe1978,0.0,0,0,0.0,0,0.0,8.0,2.0,10.0
Okeechobee1978,0.0,1,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1978,1.0,0,1,1.0,0,0.0,0.0,0.0,3.0
Pinellas1978,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Putnam1978,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Johns1978,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Lucie1978,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Volusia1978,1.0,0,0,1.0,0,0.0,2.0,0.0,4.0
TOTAL:1978,21.0,9,1,10.0,0,3.0,34.0,6.0,84.0
