County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2014,3.0,0,0,31.0,7,3.0,38.0,3.0,85.0
Broward2014,2.0,0,0,1.0,0,0.0,4.0,0.0,7.0
Charlotte2014,7.0,0,0,0.0,0,2.0,8.0,0.0,17.0
Citrus2014,4.0,0,1,2.0,1,1.0,3.0,0.0,12.0
Clay2014,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Collier2014,0.0,0,0,2.0,0,3.0,4.0,2.0,11.0
DeSoto2014,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Duval2014,0.0,0,0,3.0,5,0.0,4.0,0.0,12.0
Flagler2014,0.0,0,0,4.0,1,0.0,1.0,0.0,6.0
Franklin2014,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Glades2014,0.0,1,1,0.0,0,0.0,0.0,0.0,2.0
Hendry2014,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Hernando2014,3.0,0,0,2.0,0,0.0,0.0,0.0,5.0
Highlands2014,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2014,2.0,0,2,3.0,0,2.0,6.0,0.0,15.0
Indian River2014,0.0,0,0,1.0,0,1.0,3.0,0.0,5.0
Lake2014,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Lee2014,18.0,0,0,12.0,3,12.0,14.0,2.0,61.0
Levy2014,0.0,0,0,2.0,0,1.0,0.0,2.0,5.0
Manatee2014,1.0,0,0,3.0,0,0.0,5.0,0.0,9.0
Marion2014,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Martin2014,2.0,1,1,2.0,0,0.0,1.0,0.0,7.0
Miami-Dade2014,5.0,1,1,1.0,0,0.0,5.0,0.0,13.0
Monroe2014,3.0,0,0,1.0,0,1.0,3.0,3.0,11.0
Okaloosa2014,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee2014,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach2014,2.0,0,0,1.0,2,0.0,1.0,0.0,6.0
Pasco2014,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Pinellas2014,3.0,0,0,3.0,0,0.0,3.0,0.0,9.0
Putnam2014,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Santa Rosa2014,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Sarasota2014,1.0,0,0,4.0,1,1.0,4.0,1.0,12.0
Seminole2014,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns2014,3.0,0,0,0.0,0,0.0,0.0,0.0,3.0
St. Lucie2014,2.0,0,0,1.0,0,1.0,2.0,0.0,6.0
Taylor2014,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Volusia2014,4.0,0,3,14.0,1,1.0,4.0,2.0,29.0
Wakulla2014,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
TOTAL:2014,69.0,3,9,100.0,26,29.0,118.0,17.0,371.0
