County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1975,1.0,0,1,5.0,0,1.0,4.0,2.0,14.0
Broward1975,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Charlotte1975,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Clay1975,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Lee1975,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Levy1975,3.0,0,0,0.0,0,0.0,0.0,0.0,3.0
Martin1975,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Miami-Dade1975,1.0,1,0,1.0,0,0.0,1.0,0.0,4.0
Volusia1975,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
TOTAL:1975,6.0,1,1,7.0,0,1.0,10.0,3.0,29.0
