County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1994,9.0,0,0,17.0,0,9.0,7.0,0.0,42.0
Broward1994,3.0,0,0,1.0,0,0.0,0.0,0.0,4.0
Charlotte1994,2.0,0,0,1.0,1,3.0,2.0,0.0,9.0
Citrus1994,2.0,0,0,0.0,0,3.0,0.0,0.0,5.0
Clay1994,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Collier1994,4.0,0,0,1.0,0,4.0,3.0,1.0,13.0
Duval1994,2.0,0,1,1.0,1,1.0,0.0,0.0,6.0
Flagler1994,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Glades1994,2.0,8,0,0.0,0,0.0,0.0,0.0,10.0
Hillsborough1994,2.0,0,0,1.0,0,1.0,0.0,0.0,4.0
Indian River1994,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Lee1994,10.0,0,1,9.0,0,4.0,9.0,0.0,33.0
Levy1994,0.0,0,0,3.0,0,0.0,0.0,0.0,3.0
Manatee1994,2.0,0,0,0.0,1,2.0,0.0,0.0,5.0
Martin1994,1.0,2,0,3.0,0,0.0,1.0,0.0,7.0
Miami-Dade1994,1.0,4,3,1.0,0,1.0,0.0,1.0,11.0
Monroe1994,0.0,0,0,0.0,0,1.0,1.0,1.0,3.0
Nassau1994,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Okeechobee1994,0.0,2,0,1.0,0,0.0,0.0,0.0,3.0
Palm Beach1994,2.0,0,0,1.0,0,0.0,0.0,0.0,3.0
Pasco1994,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas1994,1.0,0,0,1.0,0,1.0,4.0,0.0,7.0
Putnam1994,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Sarasota1994,2.0,0,0,1.0,0,1.0,2.0,0.0,6.0
St. Lucie1994,0.0,0,0,0.0,0,2.0,0.0,0.0,2.0
Volusia1994,1.0,0,0,3.0,0,0.0,2.0,0.0,6.0
Wakulla1994,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
TOTAL:1994,49.0,16,5,46.0,4,33.0,37.0,3.0,193.0
