County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2005,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Brevard2005,6.0,0,2,26.0,6,6.0,11.0,0.0,57.0
Broward2005,2.0,0,0,1.0,1,1.0,4.0,0.0,9.0
Charlotte2005,2.0,0,0,2.0,0,13.0,5.0,0.0,22.0
Citrus2005,6.0,0,0,9.0,0,0.0,3.0,0.0,18.0
Clay2005,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Collier2005,4.0,0,0,8.0,11,1.0,9.0,1.0,34.0
Dixie2005,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Duval2005,4.0,0,0,2.0,2,0.0,6.0,0.0,14.0
Flagler2005,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Glades2005,1.0,3,0,0.0,0,1.0,4.0,0.0,9.0
Hendry2005,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hernando2005,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Hillsborough2005,5.0,0,2,4.0,0,1.0,3.0,0.0,15.0
Indian River2005,5.0,0,1,4.0,1,2.0,3.0,0.0,16.0
Lee2005,12.0,2,0,10.0,4,29.0,16.0,2.0,75.0
Levy2005,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Manatee2005,2.0,0,0,1.0,1,5.0,2.0,0.0,11.0
Martin2005,0.0,1,0,3.0,2,1.0,2.0,0.0,9.0
Miami-Dade2005,1.0,0,2,1.0,0,0.0,1.0,0.0,5.0
Monroe2005,3.0,0,0,2.0,0,1.0,2.0,1.0,9.0
Okeechobee2005,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Palm Beach2005,6.0,0,0,1.0,1,0.0,0.0,0.0,8.0
Pasco2005,1.0,0,1,1.0,0,2.0,0.0,0.0,5.0
Pinellas2005,5.0,0,0,1.0,0,5.0,3.0,0.0,14.0
Sarasota2005,2.0,0,0,1.0,0,17.0,0.0,0.0,20.0
St. Johns2005,0.0,0,0,0.0,0,0.0,3.0,0.0,3.0
St. Lucie2005,1.0,0,0,0.0,1,0.0,6.0,0.0,8.0
Taylor2005,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Volusia2005,8.0,0,0,8.0,1,2.0,3.0,0.0,22.0
Wakulla2005,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
TOTAL:2005,79.0,6,8,89.0,31,88.0,91.0,4.0,396.0
