County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard2004,11.0,0,2,28.0,7,3.0,14.0,0.0,65.0
Broward2004,1.0,1,0,1.0,1,0.0,2.0,0.0,6.0
Charlotte2004,4.0,0,0,0.0,0,1.0,1.0,0.0,6.0
Citrus2004,1.0,0,0,1.0,2,1.0,2.0,0.0,7.0
Clay2004,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Collier2004,5.0,0,0,4.0,6,2.0,6.0,0.0,23.0
Dixie2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Duval2004,5.0,0,0,4.0,1,0.0,5.0,0.0,15.0
Flagler2004,1.0,0,0,2.0,1,0.0,0.0,0.0,4.0
Glades2004,1.0,1,0,0.0,0,0.0,1.0,0.0,3.0
Gulf2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Hendry2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Hernando2004,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2004,1.0,0,0,1.0,0,1.0,1.0,0.0,4.0
Indian River2004,1.0,0,1,2.0,0,1.0,1.0,0.0,6.0
Lake2004,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee2004,13.0,0,0,9.0,11,7.0,11.0,0.0,51.0
Levy2004,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Manatee2004,3.0,0,0,2.0,4,2.0,0.0,0.0,11.0
Martin2004,1.0,0,0,4.0,0,0.0,0.0,0.0,5.0
Miami-Dade2004,2.0,1,1,0.0,1,0.0,2.0,0.0,7.0
Monroe2004,1.0,0,0,0.0,1,1.0,1.0,3.0,7.0
Okeechobee2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Palm Beach2004,3.0,0,1,0.0,2,1.0,2.0,0.0,9.0
Pasco2004,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Pinellas2004,4.0,0,0,0.0,0,1.0,0.0,0.0,5.0
Putnam2004,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
Sarasota2004,2.0,0,0,3.0,0,0.0,2.0,0.0,7.0
Seminole2004,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
St. Johns2004,1.0,0,0,0.0,2,1.0,1.0,0.0,5.0
St. Lucie2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Volusia2004,3.0,0,0,7.0,2,0.0,1.0,0.0,13.0
Wakulla2004,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Walton2004,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
TOTAL:2004,69.0,3,5,71.0,50,22.0,53.0,3.0,276.0
