County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2001,7.0,0,1,12.0,3,7.0,22.0,0.0,52.0
Broward2001,4.0,0,0,3.0,1,0.0,1.0,0.0,9.0
Charlotte2001,2.0,0,0,1.0,1,5.0,6.0,0.0,15.0
Citrus2001,1.0,0,0,6.0,0,0.0,2.0,0.0,9.0
Clay2001,1.0,0,0,0.0,1,0.0,1.0,0.0,3.0
Collier2001,8.0,0,0,0.0,13,1.0,9.0,0.0,31.0
DeSoto2001,0.0,0,1,0.0,0,1.0,1.0,0.0,3.0
Dixie2001,0.0,0,0,1.0,0,1.0,0.0,0.0,2.0
Duval2001,1.0,0,0,1.0,2,0.0,3.0,0.0,7.0
Escambia2001,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Flagler2001,0.0,0,0,2.0,0,0.0,2.0,0.0,4.0
Franklin2001,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Glades2001,0.0,1,1,0.0,0,0.0,1.0,0.0,3.0
Hendry2001,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hillsborough2001,4.0,0,2,4.0,0,0.0,5.0,0.0,15.0
Indian River2001,1.0,0,0,2.0,1,0.0,1.0,0.0,5.0
Lake2001,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee2001,23.0,0,0,6.0,5,5.0,12.0,0.0,51.0
Levy2001,0.0,0,0,9.0,0,0.0,1.0,0.0,10.0
Manatee2001,1.0,0,0,1.0,1,1.0,3.0,0.0,7.0
Martin2001,1.0,0,0,2.0,0,2.0,2.0,0.0,7.0
Miami-Dade2001,5.0,0,2,2.0,0,0.0,2.0,0.0,11.0
Monroe2001,2.0,0,0,2.0,0,1.0,8.0,0.0,13.0
Palm Beach2001,3.0,0,0,0.0,0,2.0,3.0,0.0,8.0
Pasco2001,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Pinellas2001,1.0,0,0,1.0,2,5.0,0.0,0.0,9.0
Putnam2001,0.0,0,0,0.0,0,0.0,3.0,0.0,3.0
Sarasota2001,2.0,0,0,0.0,0,3.0,0.0,0.0,5.0
St. Johns2001,0.0,0,0,0.0,0,0.0,4.0,1.0,5.0
St. Lucie2001,1.0,0,0,1.0,0,0.0,2.0,0.0,4.0
Taylor2001,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Volusia2001,11.0,0,1,5.0,0,1.0,8.0,1.0,27.0
TOTAL:2001,81.0,1,8,61.0,31,35.0,106.0,2.0,325.0
