County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2010,13.0,1,0,32.0,90,3.0,44.0,1.0,184.0
Broward2010,4.0,0,0,4.0,9,1.0,9.0,0.0,27.0
Charlotte2010,6.0,0,0,4.0,5,0.0,7.0,0.0,22.0
Citrus2010,2.0,0,0,3.0,2,0.0,7.0,0.0,14.0
Clay2010,1.0,0,0,0.0,2,0.0,1.0,0.0,4.0
Collier2010,7.0,0,0,3.0,18,1.0,9.0,1.0,39.0
DeSoto2010,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
Duval2010,2.0,0,2,1.0,1,0.0,3.0,0.0,9.0
Flagler2010,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Franklin2010,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Glades2010,0.0,0,0,1.0,1,0.0,2.0,1.0,5.0
Hendry2010,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
Hernando2010,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Hillsborough2010,3.0,0,0,3.0,6,3.0,7.0,1.0,23.0
Indian River2010,4.0,0,0,11.0,29,0.0,11.0,0.0,55.0
Lee2010,12.0,0,2,11.0,30,7.0,15.0,1.0,78.0
Levy2010,0.0,0,0,1.0,0,0.0,3.0,0.0,4.0
Manatee2010,4.0,0,0,0.0,7,0.0,4.0,0.0,15.0
Marion2010,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Martin2010,3.0,0,1,3.0,7,1.0,2.0,0.0,17.0
Miami-Dade2010,3.0,0,0,1.0,0,2.0,12.0,4.0,22.0
Monroe2010,1.0,0,0,2.0,17,0.0,42.0,56.0,118.0
Okeechobee2010,1.0,0,0,0.0,1,0.0,0.0,0.0,2.0
Palm Beach2010,2.0,0,0,2.0,6,1.0,6.0,1.0,18.0
Pasco2010,0.0,0,0,1.0,1,0.0,0.0,0.0,2.0
Pinellas2010,2.0,0,0,2.0,2,1.0,3.0,0.0,10.0
Putnam2010,0.0,0,0,0.0,7,0.0,3.0,0.0,10.0
Sarasota2010,4.0,0,0,0.0,4,1.0,5.0,0.0,14.0
St. Johns2010,0.0,0,0,1.0,5,1.0,2.0,0.0,9.0
St. Lucie2010,2.0,0,0,4.0,16,0.0,4.0,0.0,26.0
Volusia2010,6.0,0,0,5.0,10,0.0,6.0,0.0,27.0
Wakulla2010,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Walton2010,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
TOTAL:2010,83.0,1,5,97.0,282,23.0,208.0,67.0,766.0
