County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay1986,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard1986,4.0,0,0,5.0,2,0.0,4.0,0.0,15.0
Broward1986,2.0,0,0,2.0,1,0.0,0.0,1.0,6.0
Charlotte1986,1.0,0,0,0.0,0,0.0,2.0,0.0,3.0
Citrus1986,2.0,1,0,1.0,0,0.0,0.0,0.0,4.0
Collier1986,9.0,0,0,1.0,0,0.0,2.0,0.0,12.0
Duval1986,2.0,0,0,0.0,2,0.0,8.0,1.0,13.0
Glades1986,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hillsborough1986,0.0,2,0,2.0,0,0.0,2.0,0.0,6.0
Indian River1986,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lake1986,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1986,3.0,0,0,2.0,1,0.0,7.0,2.0,15.0
Levy1986,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Manatee1986,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Martin1986,3.0,0,0,0.0,0,0.0,1.0,0.0,4.0
Miami-Dade1986,1.0,0,1,0.0,0,0.0,0.0,0.0,2.0
Monroe1986,0.0,0,0,2.0,0,0.0,3.0,2.0,7.0
Nassau1986,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Okeechobee1986,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Palm Beach1986,1.0,0,0,2.0,0,0.0,3.0,0.0,6.0
Pinellas1986,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Putnam1986,0.0,0,0,0.0,1,1.0,0.0,0.0,2.0
Sarasota1986,0.0,0,0,3.0,0,0.0,0.0,0.0,3.0
St. Lucie1986,0.0,0,0,0.0,3,0.0,1.0,0.0,4.0
Volusia1986,2.0,0,0,5.0,0,0.0,1.0,0.0,8.0
TOTAL:1986,33.0,3,1,27.0,12,1.0,39.0,6.0,122.0
