County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2011,7.0,1,0,28.0,28,2.0,30.0,3.0,99.0
Broward2011,2.0,0,1,3.0,0,0.0,6.0,0.0,12.0
Charlotte2011,2.0,0,0,1.0,3,0.0,4.0,1.0,11.0
Citrus2011,5.0,0,0,2.0,3,3.0,1.0,0.0,14.0
Clay2011,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Collier2011,5.0,0,1,2.0,10,2.0,7.0,1.0,28.0
DeSoto2011,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Duval2011,6.0,0,0,4.0,3,0.0,2.0,0.0,15.0
Escambia2011,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
Franklin2011,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Glades2011,3.0,1,0,0.0,2,0.0,1.0,0.0,7.0
Hendry2011,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Hillsborough2011,4.0,0,0,2.0,1,3.0,3.0,0.0,13.0
Indian River2011,2.0,0,0,2.0,15,2.0,6.0,0.0,27.0
Lake2011,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Lee2011,14.0,0,0,8.0,9,21.0,17.0,2.0,71.0
Levy2011,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Manatee2011,1.0,0,0,0.0,2,0.0,2.0,1.0,6.0
Martin2011,2.0,0,0,3.0,1,0.0,5.0,0.0,11.0
Miami-Dade2011,2.0,0,2,0.0,4,2.0,6.0,0.0,16.0
Monroe2011,5.0,0,0,1.0,1,0.0,2.0,1.0,10.0
Nassau2011,1.0,0,0,0.0,0,0.0,0.0,1.0,2.0
Okeechobee2011,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Palm Beach2011,3.0,0,0,0.0,4,0.0,4.0,0.0,11.0
Pasco2011,3.0,0,0,0.0,1,0.0,2.0,0.0,6.0
Pinellas2011,6.0,0,0,3.0,1,1.0,1.0,0.0,12.0
Putnam2011,1.0,0,0,0.0,2,1.0,2.0,0.0,6.0
Sarasota2011,1.0,0,0,1.0,2,0.0,2.0,0.0,6.0
St. Johns2011,1.0,0,0,0.0,1,0.0,1.0,0.0,3.0
St. Lucie2011,3.0,0,0,2.0,8,0.0,1.0,1.0,15.0
Taylor2011,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Volusia2011,6.0,0,0,13.0,9,2.0,4.0,0.0,34.0
Wakulla2011,0.0,0,0,1.0,0,1.0,0.0,0.0,2.0
Walton2011,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
TOTAL:2011,88.0,2,4,78.0,114,40.0,115.0,12.0,453.0
