County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1981,5.0,1,1,3.0,0,1.0,9.0,0.0,20.0
Broward1981,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Citrus1981,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Collier1981,4.0,0,0,1.0,0,0.0,8.0,0.0,13.0
Duval1981,1.0,0,0,0.0,0,1.0,5.0,0.0,7.0
Glades1981,1.0,1,0,0.0,0,0.0,0.0,0.0,2.0
Hillsborough1981,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Indian River1981,2.0,0,0,0.0,0,0.0,0.0,0.0,2.0
Lake1981,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1981,4.0,0,1,3.0,1,3.0,7.0,0.0,19.0
Levy1981,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Manatee1981,0.0,0,0,0.0,0,1.0,2.0,0.0,3.0
Martin1981,1.0,0,0,0.0,0,0.0,4.0,0.0,5.0
Miami-Dade1981,1.0,0,2,0.0,0,0.0,2.0,0.0,5.0
Monroe1981,0.0,0,0,1.0,0,0.0,17.0,2.0,20.0
Nassau1981,0.0,0,0,0.0,0,1.0,1.0,0.0,2.0
Palm Beach1981,1.0,0,0,0.0,0,0.0,2.0,0.0,3.0
Putnam1981,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
St. Johns1981,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
St. Lucie1981,1.0,0,0,0.0,0,0.0,3.0,0.0,4.0
Volusia1981,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
TOTAL:1981,24.0,2,4,13.0,1,8.0,62.0,2.0,116.0
