County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2015,10.0,0,5,29.0,6,5.0,33.0,10.0,98.0
Broward2015,1.0,1,0,1.0,2,1.0,7.0,0.0,13.0
Charlotte2015,8.0,0,0,0.0,0,4.0,4.0,2.0,18.0
Citrus2015,3.0,0,2,7.0,2,2.0,3.0,2.0,21.0
Clay2015,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Collier2015,2.0,0,0,2.0,1,1.0,4.0,2.0,12.0
DeSoto2015,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Duval2015,1.0,0,0,3.0,2,0.0,2.0,0.0,8.0
Flagler2015,0.0,0,0,5.0,0,1.0,0.0,0.0,6.0
Gilchrist2015,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Glades2015,0.0,3,0,0.0,0,0.0,0.0,0.0,3.0
Hendry2015,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hernando2015,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Hillsborough2015,5.0,0,2,3.0,0,3.0,4.0,1.0,18.0
Indian River2015,4.0,0,0,4.0,0,1.0,4.0,0.0,13.0
Jefferson2015,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lake2015,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Lee2015,20.0,0,0,7.0,2,11.0,16.0,4.0,60.0
Levy2015,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Manatee2015,4.0,0,0,5.0,0,4.0,3.0,0.0,16.0
Marion2015,1.0,0,0,1.0,0,0.0,1.0,0.0,3.0
Martin2015,3.0,1,0,0.0,0,1.0,3.0,0.0,8.0
Miami-Dade2015,2.0,0,1,1.0,0,2.0,10.0,1.0,17.0
Monroe2015,3.0,0,0,0.0,1,0.0,1.0,1.0,6.0
Okeechobee2015,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Palm Beach2015,0.0,0,1,1.0,2,0.0,5.0,1.0,10.0
Pasco2015,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Pinellas2015,4.0,0,0,2.0,0,3.0,3.0,0.0,12.0
Putnam2015,1.0,0,0,2.0,0,0.0,1.0,1.0,5.0
Sarasota2015,1.0,0,0,2.0,0,4.0,3.0,1.0,11.0
St. Johns2015,1.0,0,0,1.0,0,0.0,1.0,0.0,3.0
St. Lucie2015,1.0,0,0,2.0,0,1.0,2.0,0.0,6.0
Taylor2015,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Volusia2015,8.0,0,0,8.0,0,0.0,5.0,2.0,23.0
Wakulla2015,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
TOTAL:2015,86.0,5,11,91.0,18,44.0,119.0,31.0,405.0
