County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay1990,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard1990,7.0,1,0,15.0,28,6.0,5.0,0.0,62.0
Broward1990,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Charlotte1990,1.0,0,0,1.0,1,0.0,1.0,0.0,4.0
Citrus1990,1.0,0,0,1.0,0,2.0,0.0,0.0,4.0
Clay1990,0.0,0,0,0.0,3,0.0,0.0,0.0,3.0
Collier1990,7.0,0,0,1.0,0,3.0,2.0,0.0,13.0
DeSoto1990,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval1990,3.0,0,3,0.0,4,0.0,3.0,0.0,13.0
Flagler1990,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Franklin1990,0.0,0,1,0.0,0,0.0,0.0,0.0,1.0
Glades1990,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Hillsborough1990,0.0,0,0,1.0,0,2.0,4.0,0.0,7.0
Indian River1990,0.0,0,0,2.0,1,0.0,0.0,0.0,3.0
Lee1990,5.0,0,0,6.0,2,4.0,10.0,0.0,27.0
Levy1990,1.0,0,0,2.0,0,0.0,0.0,0.0,3.0
Manatee1990,1.0,0,0,2.0,1,0.0,0.0,0.0,4.0
Martin1990,4.0,1,0,1.0,0,0.0,0.0,0.0,6.0
Miami-Dade1990,1.0,1,0,0.0,0,0.0,2.0,0.0,4.0
Monroe1990,0.0,0,0,0.0,2,1.0,4.0,1.0,8.0
Nassau1990,0.0,0,0,0.0,0,1.0,2.0,0.0,3.0
Okaloosa1990,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Palm Beach1990,3.0,0,0,0.0,0,1.0,2.0,0.0,6.0
Pinellas1990,0.0,0,0,2.0,0,0.0,1.0,0.0,3.0
Putnam1990,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Sarasota1990,2.0,0,0,4.0,1,0.0,0.0,0.0,7.0
St. Johns1990,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Lucie1990,4.0,0,0,0.0,0,0.0,1.0,0.0,5.0
Volusia1990,4.0,0,0,2.0,1,0.0,1.0,0.0,8.0
TOTAL:1990,47.0,3,4,44.0,46,21.0,40.0,1.0,206.0
