County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1998,9.0,0,2,14.0,4,1.0,15.0,2.0,47.0
Broward1998,2.0,1,0,2.0,0,0.0,2.0,0.0,7.0
Charlotte1998,3.0,0,0,4.0,0,0.0,3.0,0.0,10.0
Citrus1998,2.0,0,0,1.0,0,0.0,1.0,0.0,4.0
Clay1998,2.0,0,0,1.0,0,1.0,1.0,0.0,5.0
Collier1998,8.0,0,0,3.0,0,0.0,4.0,0.0,15.0
Dixie1998,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Duval1998,3.0,0,0,3.0,2,0.0,5.0,0.0,13.0
Flagler1998,1.0,0,0,1.0,0,1.0,0.0,0.0,3.0
Franklin1998,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Glades1998,1.0,2,0,1.0,0,0.0,0.0,0.0,4.0
Hernando1998,2.0,0,0,1.0,0,0.0,0.0,0.0,3.0
Hillsborough1998,1.0,0,0,2.0,0,1.0,3.0,0.0,7.0
Indian River1998,3.0,0,0,1.0,1,0.0,0.0,0.0,5.0
Lee1998,9.0,0,3,8.0,1,5.0,5.0,0.0,31.0
Manatee1998,3.0,0,0,1.0,0,0.0,3.0,0.0,7.0
Martin1998,1.0,2,0,2.0,0,1.0,2.0,0.0,8.0
Miami-Dade1998,2.0,3,1,0.0,0,0.0,3.0,0.0,9.0
Monroe1998,0.0,0,0,1.0,0,0.0,3.0,0.0,4.0
Nassau1998,1.0,0,0,0.0,0,1.0,3.0,0.0,5.0
Okeechobee1998,0.0,1,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1998,2.0,0,0,1.0,0,1.0,1.0,0.0,5.0
Pasco1998,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Pinellas1998,2.0,0,0,1.0,0,0.0,4.0,0.0,7.0
Putnam1998,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Sarasota1998,0.0,0,0,2.0,0,1.0,1.0,0.0,4.0
St. Johns1998,0.0,0,0,0.0,0,0.0,4.0,0.0,4.0
St. Lucie1998,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Taylor1998,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Volusia1998,8.0,0,0,2.0,2,0.0,3.0,1.0,16.0
TOTAL:1998,66.0,9,6,53.0,10,13.0,71.0,4.0,232.0
