County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2003,8.0,0,0,16.0,3,1.0,13.0,1.0,42.0
Broward2003,5.0,0,1,1.0,0,0.0,1.0,0.0,8.0
Charlotte2003,3.0,0,0,3.0,3,19.0,1.0,1.0,30.0
Citrus2003,3.0,0,0,2.0,2,1.0,1.0,1.0,10.0
Clay2003,1.0,0,0,1.0,1,0.0,1.0,0.0,4.0
Collier2003,7.0,0,0,6.0,5,14.0,5.0,0.0,37.0
Dixie2003,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Duval2003,4.0,0,0,4.0,3,2.0,5.0,1.0,19.0
Flagler2003,2.0,0,0,6.0,0,0.0,0.0,0.0,8.0
Franklin2003,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
Glades2003,1.0,1,1,0.0,0,0.0,1.0,0.0,4.0
Gulf2003,0.0,0,0,0.0,1,0.0,0.0,1.0,2.0
Hendry2003,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Hernando2003,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Hillsborough2003,5.0,0,1,2.0,1,0.0,4.0,0.0,13.0
Indian River2003,1.0,0,0,1.0,1,1.0,2.0,0.0,6.0
Lake2003,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Lee2003,9.0,0,0,10.0,8,45.0,8.0,1.0,81.0
Levy2003,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Manatee2003,3.0,0,0,1.0,2,0.0,2.0,0.0,8.0
Martin2003,1.0,0,0,1.0,3,0.0,1.0,0.0,6.0
Miami-Dade2003,2.0,1,1,1.0,0,0.0,4.0,0.0,9.0
Monroe2003,2.0,0,0,0.0,2,2.0,4.0,2.0,12.0
Okeechobee2003,0.0,0,1,0.0,0,0.0,0.0,0.0,1.0
Palm Beach2003,5.0,0,0,2.0,2,0.0,3.0,0.0,12.0
Pasco2003,3.0,0,0,1.0,1,0.0,0.0,0.0,5.0
Pinellas2003,4.0,0,1,0.0,1,3.0,0.0,0.0,9.0
Putnam2003,1.0,1,0,0.0,1,0.0,2.0,0.0,5.0
Sarasota2003,1.0,0,0,3.0,4,13.0,0.0,1.0,22.0
St. Johns2003,0.0,0,0,2.0,1,0.0,2.0,0.0,5.0
Volusia2003,2.0,0,1,7.0,1,0.0,2.0,1.0,14.0
TOTAL:2003,73.0,3,7,71.0,47,102.0,67.0,10.0,380.0
