County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2019,0.0,0,0,0.0,3,0.0,0.0,2.0,5.0
Brevard2019,16.0,0,3,15.0,15,11.0,23.0,5.0,88.0
Broward2019,3.0,0,0,1.0,3,0.0,7.0,0.0,14.0
Charlotte2019,4.0,0,0,5.0,2,5.0,6.0,7.0,29.0
Citrus2019,7.0,0,1,5.0,1,6.0,2.0,4.0,26.0
Clay2019,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Collier2019,6.0,0,0,3.0,7,4.0,5.0,8.0,33.0
Dixie2019,0.0,0,0,0.0,0,0.0,0.0,2.0,2.0
Duval2019,4.0,0,0,1.0,4,0.0,1.0,1.0,11.0
Flagler2019,0.0,0,0,1.0,4,1.0,1.0,0.0,7.0
Glades2019,3.0,3,0,0.0,0,0.0,1.0,0.0,7.0
Hernando2019,2.0,0,0,0.0,0,0.0,0.0,0.0,2.0
Hillsborough2019,7.0,0,0,6.0,2,2.0,3.0,3.0,23.0
Indian River2019,4.0,0,0,0.0,2,2.0,1.0,0.0,9.0
Lake2019,1.0,0,0,1.0,0,0.0,0.0,1.0,3.0
Lee2019,27.0,0,0,9.0,1,25.0,10.0,71.0,143.0
Levy2019,2.0,0,0,1.0,0,0.0,0.0,1.0,4.0
Manatee2019,5.0,0,0,2.0,1,7.0,2.0,0.0,17.0
Marion2019,0.0,1,0,0.0,0,0.0,1.0,0.0,2.0
Martin2019,2.0,0,0,1.0,2,1.0,3.0,0.0,9.0
Miami-Dade2019,6.0,1,0,0.0,0,3.0,4.0,1.0,15.0
Monroe2019,5.0,0,0,2.0,1,1.0,14.0,10.0,33.0
Nassau2019,0.0,0,0,0.0,1,0.0,0.0,1.0,2.0
Okeechobee2019,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach2019,5.0,0,1,0.0,3,3.0,4.0,0.0,16.0
Pasco2019,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Pinellas2019,7.0,0,0,5.0,2,2.0,7.0,2.0,25.0
Putnam2019,0.0,0,0,1.0,0,0.0,2.0,0.0,3.0
Sarasota2019,2.0,0,0,1.0,1,5.0,2.0,6.0,17.0
Seminole2019,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
St. Johns2019,0.0,0,0,1.0,1,0.0,2.0,0.0,4.0
St. Lucie2019,1.0,0,0,1.0,4,1.0,4.0,0.0,11.0
Taylor2019,1.0,0,0,0.0,0,0.0,0.0,1.0,2.0
Volusia2019,12.0,0,3,8.0,3,0.0,6.0,1.0,33.0
Wakulla2019,3.0,0,1,0.0,0,0.0,0.0,2.0,6.0
TOTAL:2019,137.0,5,9,71.0,64,79.0,113.0,129.0,607.0
