County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1989,10.0,1,0,10.0,4,7.0,4.0,1.0,37.0
Broward1989,3.0,0,0,1.0,0,0.0,0.0,0.0,4.0
Charlotte1989,2.0,0,1,0.0,0,1.0,6.0,0.0,10.0
Citrus1989,2.0,0,0,0.0,0,1.0,2.0,0.0,5.0
Collier1989,7.0,0,0,7.0,0,1.0,4.0,0.0,19.0
DeSoto1989,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Duval1989,6.0,0,1,3.0,4,2.0,4.0,0.0,20.0
Flagler1989,0.0,0,0,0.0,1,1.0,0.0,0.0,2.0
Franklin1989,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Glades1989,2.0,0,0,0.0,0,0.0,0.0,0.0,2.0
Hillsborough1989,0.0,0,1,2.0,2,0.0,0.0,0.0,5.0
Indian River1989,2.0,0,0,3.0,0,0.0,0.0,0.0,5.0
Lake1989,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee1989,0.0,0,0,5.0,0,2.0,9.0,0.0,16.0
Manatee1989,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Martin1989,2.0,2,0,1.0,0,0.0,2.0,0.0,7.0
Miami-Dade1989,3.0,0,0,0.0,0,0.0,0.0,0.0,3.0
Monroe1989,1.0,0,0,0.0,0,0.0,3.0,0.0,4.0
Nassau1989,0.0,0,0,0.0,1,0.0,2.0,0.0,3.0
Palm Beach1989,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas1989,3.0,0,0,0.0,0,0.0,0.0,0.0,3.0
Putnam1989,2.0,0,0,0.0,0,0.0,0.0,0.0,2.0
Sarasota1989,2.0,0,0,0.0,0,2.0,1.0,0.0,5.0
St. Johns1989,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
St. Lucie1989,1.0,0,0,2.0,0,1.0,0.0,0.0,4.0
Volusia1989,1.0,0,2,2.0,1,0.0,0.0,0.0,6.0
TOTAL:1989,50.0,3,5,38.0,14,18.0,39.0,1.0,168.0
