County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1996,13.0,4,0,15.0,3,6.0,13.0,2.0,56.0
Broward1996,1.0,0,0,2.0,0,1.0,2.0,0.0,6.0
Charlotte1996,1.0,0,0,3.0,1,13.0,7.0,0.0,25.0
Citrus1996,2.0,0,0,3.0,0,0.0,1.0,0.0,6.0
Clay1996,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Collier1996,5.0,0,0,10.0,3,22.0,28.0,2.0,70.0
Duval1996,3.0,0,0,0.0,1,2.0,4.0,0.0,10.0
Flagler1996,0.0,0,0,1.0,1,1.0,0.0,0.0,3.0
Glades1996,0.0,2,0,0.0,0,0.0,1.0,0.0,3.0
Hendry1996,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Hillsborough1996,4.0,0,0,2.0,0,1.0,3.0,0.0,10.0
Indian River1996,4.0,0,0,2.0,0,0.0,4.0,0.0,10.0
Lake1996,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Lee1996,14.0,0,0,7.0,5,45.0,70.0,4.0,145.0
Levy1996,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Manatee1996,0.0,0,0,0.0,2,1.0,1.0,0.0,4.0
Martin1996,2.0,1,0,2.0,0,0.0,1.0,0.0,6.0
Miami-Dade1996,0.0,3,0,1.0,0,0.0,2.0,1.0,7.0
Monroe1996,1.0,0,0,0.0,0,0.0,6.0,1.0,8.0
Nassau1996,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Palm Beach1996,3.0,0,0,0.0,0,2.0,2.0,0.0,7.0
Pasco1996,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas1996,0.0,0,0,4.0,1,1.0,1.0,0.0,7.0
Putnam1996,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Sarasota1996,1.0,0,0,0.0,0,4.0,3.0,0.0,8.0
St. Johns1996,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Lucie1996,1.0,0,0,1.0,0,2.0,0.0,0.0,4.0
Volusia1996,2.0,0,0,6.0,0,0.0,1.0,0.0,9.0
TOTAL:1996,60.0,10,0,61.0,17,101.0,154.0,12.0,415.0
