County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1995,6.0,0,1,15.0,0,4.0,13.0,1.0,40.0
Broward1995,0.0,1,0,4.0,0,0.0,0.0,0.0,5.0
Charlotte1995,4.0,0,0,0.0,0,2.0,1.0,0.0,7.0
Citrus1995,0.0,0,0,4.0,0,1.0,1.0,0.0,6.0
Collier1995,4.0,0,0,0.0,0,0.0,5.0,1.0,10.0
Duval1995,3.0,0,0,0.0,0,1.0,3.0,0.0,7.0
Flagler1995,1.0,0,0,2.0,0,1.0,0.0,0.0,4.0
Franklin1995,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Glades1995,0.0,1,0,0.0,0,1.0,1.0,0.0,3.0
Hernando1995,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Hillsborough1995,3.0,0,0,1.0,0,1.0,1.0,0.0,6.0
Indian River1995,1.0,0,0,3.0,0,0.0,1.0,0.0,5.0
Lake1995,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1995,8.0,0,1,9.0,0,6.0,7.0,0.0,31.0
Manatee1995,1.0,0,0,1.0,0,1.0,2.0,0.0,5.0
Martin1995,1.0,1,0,2.0,0,1.0,1.0,0.0,6.0
Miami-Dade1995,2.0,3,2,0.0,0,3.0,4.0,0.0,14.0
Monroe1995,3.0,0,0,0.0,0,0.0,1.0,0.0,4.0
Nassau1995,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Okeechobee1995,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Palm Beach1995,2.0,0,0,0.0,0,3.0,1.0,0.0,6.0
Pinellas1995,1.0,0,0,2.0,0,1.0,3.0,0.0,7.0
Putnam1995,0.0,2,0,1.0,0,1.0,0.0,0.0,4.0
Sarasota1995,0.0,0,0,2.0,0,7.0,3.0,0.0,12.0
Seminole1995,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
St. Johns1995,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
St. Lucie1995,0.0,0,1,0.0,0,0.0,1.0,0.0,2.0
Volusia1995,1.0,0,0,6.0,0,0.0,2.0,0.0,9.0
TOTAL:1995,42.0,8,5,56.0,0,35.0,53.0,2.0,201.0
