County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Bay2018,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Brevard2018,15.0,0,5,46.0,20,4.0,24.0,3.0,117.0
Broward2018,6.0,0,2,0.0,4,4.0,5.0,0.0,21.0
Charlotte2018,6.0,0,1,1.0,0,22.0,7.0,3.0,40.0
Citrus2018,6.0,0,1,8.0,1,6.0,3.0,0.0,25.0
Clay2018,0.0,0,0,0.0,2,0.0,0.0,0.0,2.0
Collier2018,2.0,0,1,4.0,5,31.0,9.0,16.0,68.0
Dixie2018,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Duval2018,0.0,0,1,2.0,6,0.0,2.0,0.0,11.0
Escambia2018,2.0,0,0,0.0,1,0.0,0.0,0.0,3.0
Flagler2018,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Franklin2018,0.0,0,0,0.0,2,0.0,0.0,1.0,3.0
Glades2018,0.0,0,0,0.0,0,0.0,1.0,1.0,2.0
Gulf2018,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Hendry2018,1.0,0,1,0.0,0,1.0,0.0,1.0,4.0
Hernando2018,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Hillsborough2018,8.0,0,1,8.0,4,5.0,6.0,2.0,34.0
Indian River2018,3.0,0,2,3.0,0,2.0,3.0,0.0,13.0
Lake2018,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Lee2018,17.0,1,1,10.0,4,79.0,16.0,54.0,182.0
Levy2018,1.0,0,0,0.0,2,0.0,0.0,0.0,3.0
Manatee2018,5.0,0,0,4.0,3,8.0,3.0,6.0,29.0
Martin2018,3.0,2,0,1.0,4,3.0,3.0,0.0,16.0
Miami-Dade2018,2.0,1,2,0.0,3,1.0,10.0,0.0,19.0
Monroe2018,8.0,0,0,2.0,2,1.0,8.0,5.0,26.0
Okaloosa2018,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Okeechobee2018,0.0,2,0,0.0,0,0.0,0.0,0.0,2.0
Palm Beach2018,5.0,0,1,2.0,2,1.0,2.0,0.0,13.0
Pasco2018,2.0,0,0,0.0,2,0.0,1.0,0.0,5.0
Pinellas2018,9.0,0,2,7.0,1,21.0,12.0,1.0,53.0
Putnam2018,0.0,0,0,2.0,3,0.0,0.0,0.0,5.0
Sarasota2018,3.0,0,0,2.0,1,37.0,3.0,7.0,53.0
Seminole2018,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
St. Johns2018,2.0,0,0,1.0,4,1.0,0.0,0.0,8.0
St. Lucie2018,2.0,0,0,1.0,0,3.0,4.0,0.0,10.0
Taylor2018,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Volusia2018,11.0,0,0,7.0,5,3.0,9.0,2.0,37.0
Wakulla2018,2.0,0,0,1.0,0,0.0,3.0,1.0,7.0
Walton2018,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
TOTAL:2018,124.0,6,21,113.0,85,233.0,137.0,105.0,824.0
