County/Year,Watercraft,Other/Human,Perinatal,Cold Stress,Natural,Total,Not Necropsied,Flood Gate/Canal Lock,Unrecovered/Undetermined
Manatee1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Martin1978,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Miami-Dade1978,2.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,2.0
Monroe1978,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
Okeechobee1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Palm Beach1978,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Pinellas1978,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Putnam1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
St. Johns1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
St. Lucie1978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Volusia1978,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0
TOTAL:1978,21.0,1.0,10.0,0.0,3.0,84.0,0.0,9.0,40.0
Brevard1979,10.0,1.0,1.0,0.0,2.0,21.0,0.0,0.0,7.0
Broward1979,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Charlotte1979,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Citrus1979,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Collier1979,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
Duval1979,6.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0
Glades1979,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Hillsborough1979,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lee1979,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0
Levy1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Manatee1979,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Martin1979,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Miami-Dade1979,1.0,2.0,0.0,0.0,0.0,9.0,0.0,5.0,1.0
Palm Beach1979,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Putnam1979,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
Sarasota1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Volusia1979,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0
TOTAL:1979,24.0,9.0,9.0,0.0,4.0,77.0,0.0,8.0,23.0
Brevard1980,7.0,0.0,1.0,0.0,1.0,13.0,0.0,1.0,3.0
Broward1980,2.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,2.0
Citrus1980,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Collier1980,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0
Dixie1980,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Duval1980,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
Flagler1980,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Glades1980,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0
Hillsborough1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Lee1980,2.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0
Levy1980,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0
Martin1980,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
Miami-Dade1980,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Monroe1980,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Pinellas1980,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Putnam1980,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
St. Lucie1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Volusia1980,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
TOTAL:1980,16.0,2.0,13.0,0.0,5.0,63.0,0.0,8.0,19.0
Brevard1981,5.0,1.0,3.0,0.0,1.0,20.0,0.0,1.0,9.0
Broward1981,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Citrus1981,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
