County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1991,13.0,2,2,7.0,1,3.0,10.0,0.0,38.0
Broward1991,2.0,1,0,0.0,0,0.0,0.0,0.0,3.0
Charlotte1991,2.0,0,0,0.0,0,0.0,2.0,0.0,4.0
Citrus1991,0.0,0,0,4.0,0,1.0,0.0,0.0,5.0
Clay1991,1.0,0,0,1.0,0,0.0,0.0,0.0,2.0
Collier1991,5.0,0,0,4.0,0,1.0,4.0,0.0,14.0
Dixie1991,1.0,0,0,0.0,0,1.0,0.0,0.0,2.0
Duval1991,9.0,0,2,4.0,0,1.0,3.0,0.0,19.0
Flagler1991,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Hillsborough1991,2.0,0,0,4.0,0,1.0,1.0,0.0,8.0
Indian River1991,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Lake1991,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Lee1991,7.0,0,0,6.0,0,2.0,3.0,0.0,18.0
Manatee1991,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
Martin1991,2.0,2,0,1.0,0,0.0,4.0,0.0,9.0
Miami-Dade1991,0.0,1,0,2.0,0,2.0,2.0,0.0,7.0
Monroe1991,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Nassau1991,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Okeechobee1991,0.0,2,0,0.0,0,0.0,0.0,0.0,2.0
Palm Beach1991,1.0,0,1,0.0,0,1.0,3.0,0.0,6.0
Pasco1991,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Pinellas1991,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Putnam1991,0.0,1,0,1.0,0,0.0,0.0,0.0,2.0
Sarasota1991,1.0,0,0,2.0,0,0.0,2.0,0.0,5.0
Seminole1991,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
St. Lucie1991,1.0,0,0,0.0,0,0.0,0.0,0.0,1.0
Volusia1991,3.0,0,1,6.0,0,0.0,0.0,0.0,10.0
TOTAL:1991,53.0,9,6,53.0,1,13.0,39.0,0.0,174.0
