County,Watercraft,Flood,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard1979,10.0,0,1,1.0,0,2.0,7.0,0.0,21.0
Broward1979,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0
Charlotte1979,0.0,0,0,0.0,0,1.0,0.0,0.0,1.0
Citrus1979,0.0,0,0,2.0,0,0.0,0.0,0.0,2.0
Collier1979,1.0,0,1,0.0,0,0.0,2.0,0.0,4.0
Duval1979,6.0,0,1,1.0,0,0.0,1.0,2.0,11.0
Glades1979,1.0,0,0,0.0,0,0.0,0.0,1.0,2.0
Hillsborough1979,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Lee1979,0.0,0,1,1.0,0,1.0,1.0,0.0,4.0
Levy1979,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Manatee1979,0.0,0,0,1.0,0,0.0,1.0,0.0,2.0
Martin1979,3.0,2,0,0.0,0,0.0,0.0,0.0,5.0
Miami-Dade1979,1.0,5,2,0.0,0,0.0,1.0,0.0,9.0
Palm Beach1979,1.0,0,1,0.0,0,0.0,1.0,0.0,3.0
Putnam1979,0.0,1,2,0.0,0,0.0,1.0,0.0,4.0
Sarasota1979,0.0,0,0,0.0,0,0.0,0.0,1.0,1.0
Volusia1979,1.0,0,0,2.0,0,0.0,1.0,0.0,4.0
TOTAL:1979,24.0,8,9,9.0,0,4.0,18.0,5.0,77.0
