County,Watercraft,Flood Gate/,Other,Perinatal,Cold,Natural,Undetermined,Unrecovered,Total
Brevard2002,17.0,0,0,10.0,1,8.0,14.0,0.0,50.0
Broward2002,3.0,0,1,1.0,1,0.0,4.0,0.0,10.0
Charlotte2002,4.0,0,0,0.0,0,10.0,6.0,0.0,20.0
Citrus2002,3.0,0,1,4.0,0,1.0,0.0,0.0,9.0
Clay2002,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
Collier2002,6.0,0,0,2.0,0,2.0,3.0,0.0,13.0
Dixie2002,0.0,0,0,1.0,0,0.0,0.0,1.0,2.0
Duval2002,10.0,0,0,1.0,0,0.0,2.0,1.0,14.0
Flagler2002,1.0,0,0,2.0,0,0.0,0.0,0.0,3.0
Franklin2002,0.0,0,0,0.0,1,0.0,0.0,0.0,1.0
Glades2002,1.0,1,3,0.0,0,1.0,0.0,0.0,6.0
Gulf2002,0.0,0,0,0.0,1,0.0,1.0,0.0,2.0
Hillsborough2002,5.0,0,1,1.0,0,1.0,1.0,0.0,9.0
Indian River2002,2.0,0,0,1.0,0,3.0,1.0,0.0,7.0
Lee2002,13.0,0,2,9.0,5,16.0,13.0,0.0,58.0
Levy2002,0.0,0,0,3.0,0,0.0,0.0,0.0,3.0
Manatee2002,2.0,0,0,2.0,0,0.0,0.0,0.0,4.0
Martin2002,2.0,0,0,2.0,2,1.0,2.0,0.0,9.0
Miami-Dade2002,1.0,3,1,0.0,1,1.0,2.0,0.0,9.0
Monroe2002,5.0,0,0,0.0,0,1.0,1.0,0.0,7.0
Okaloosa2002,0.0,0,0,0.0,0,0.0,1.0,0.0,1.0
Palm Beach2002,6.0,1,0,3.0,1,1.0,2.0,0.0,14.0
Pinellas2002,2.0,0,0,3.0,1,2.0,0.0,0.0,8.0
Putnam2002,0.0,0,0,0.0,1,0.0,2.0,0.0,3.0
Sarasota2002,4.0,0,0,1.0,0,8.0,2.0,0.0,15.0
St. Johns2002,3.0,0,0,0.0,1,1.0,2.0,0.0,7.0
St. Lucie2002,1.0,0,0,1.0,0,2.0,0.0,0.0,4.0
Taylor2002,1.0,0,0,0.0,0,0.0,1.0,0.0,2.0
Volusia2002,3.0,0,0,4.0,1,0.0,5.0,0.0,13.0
Wakulla2002,0.0,0,0,1.0,0,0.0,0.0,0.0,1.0
TOTAL:2002,95.0,5,9,53.0,17,59.0,65.0,2.0,305.0
